lp;data;city;shop;category;product;price;quantity
1732;2016-04-06;Cracow;Sterling Cameras;furniture;swivel chair;69.0;21
1733;2015-04-03;Warszawa;Salisbury Promotions;furniture;swivel chair;69.0;1
1734;2015-03-14;Krakow;Noakes Paper Products;furniture;swivel chair;69.0;5
1735;2017-02-26;Cracow;Valley Coaches;school and office equipment;punch;7.5;13
1736;2015-05-03;Cracow;Valley Coaches;school and office equipment;punch;7.5;35
1737;2015-05-25;Warszawa;North Point Services;furniture;desk;149.99;1
1738;2015-09-14;Warszawa;North Point Services;furniture;desk;149.99;14
1739;2016-02-10;London;Newbold Accountancy Services;furniture;swivel chair;69.0;5
1740;2014-12-18;Krakow;Noakes Paper Products;furniture;desk;149.99;12
1741;2015-11-09;Cracow;Sterling Cameras;furniture;desk;149.99;7
1742;2015-04-21;Paris;Wright Sporting Goods;school equipment;chalk;5.0;340
1743;2017-03-23;Berlin;Quality Boiler Repairs;school and office equipment;pen;0.99;26
1744;2016-12-29;Warszawa;Salisbury Promotions;furniture;desk;149.99;13
1745;2017-01-11;Krakow;Jeffries Logistics;furniture;swivel chair;69.0;3
1746;2016-06-01;Paris;Summit Cash & Carry;furniture;desk;149.99;3
1747;2016-11-05;Warszawa;Salisbury Promotions;school and office equipment;pen;1.49;205
1748;2015-03-09;Barcelona;On Time Kitchens;school and office equipment;plasticine;2.99;315
1749;2015-07-22;Paris;Holt Packaging;school equipment;chalk;5.0;318
1750;2017-02-21;Krakow;Grady Recycling;school equipment;blackboard;590.0;4
1751;2016-03-03;Barcelona;Super Memorabilia;school and office equipment;plasticine;2.99;229
1752;2015-04-07;Krakow;Noakes Paper Products;furniture;desk;149.99;16
1753;2017-04-03;Cracow;Richards Textiles;school equipment;sponge;4.0;237
1754;2014-10-17;Warszawa;Salisbury Promotions;school equipment;sponge;4.0;436
1755;2015-06-10;Berlin;On Top Workshops;school equipment;sponge;4.0;86
1756;2015-07-20;London;Newbold Accountancy Services;school equipment;sponge;4.0;86
1757;2016-01-24;Berlin;Billingham Workshops;school equipment;sponge;4.0;136
1758;2016-05-23;Warszawa;North Point Services;school equipment;sponge;4.0;398
1759;2016-07-15;Warszawa;North Point Services;school equipment;blackboard;590.0;2
1760;2015-07-27;Rome;Pearce Printing;school equipment;blackboard;590.0;1
1761;2016-09-13;Barcelona;Rathbone Double Glazing;furniture;desk;149.99;11
1762;2015-01-21;Berlin;On Top Workshops;school and office equipment;punch;7.5;39
1763;2015-07-07;Cracow;Grange Locksmiths;school equipment;sponge;4.0;138
1764;2017-04-10;Barcelona;Super Memorabilia;furniture;desk;149.99;9
1765;2016-10-24;Berlin;Quality Boiler Repairs;school equipment;sponge;4.0;134
1766;2015-03-23;Paris;Holt Packaging;school equipment;sponge;4.0;162
1767;2015-03-29;Berlin;Pringle Cycles;school equipment;chalk;5.0;88
1768;2016-05-28;Krakow;Jeffries Logistics;school and office equipment;pen;1.49;79
1769;2016-08-07;Berlin;Pringle Cycles;school equipment;chalk;5.0;119
1770;2016-04-02;London;Newbold Accountancy Services;school and office equipment;punch;7.5;70
1771;2015-09-04;Paris;Holt Packaging;furniture;desk;149.99;12
1772;2017-02-20;Warszawa;North Point Services;furniture;swivel chair;69.0;5
1773;2016-09-18;Barcelona;Rathbone Double Glazing;school equipment;blackboard;590.0;2
1774;2016-08-06;Rome;Pearce Printing;school equipment;chalk;5.0;25
1775;2015-07-11;Barcelona;Riverside Off Road Vehicles;school equipment;blackboard;590.0;4
1776;2017-02-14;Paris;Wright Sporting Goods;school equipment;blackboard;590.0;4
1777;2015-01-04;London;Ashton Electronics;school and office equipment;pen;0.99;78
1778;2016-01-01;Cracow;Valley Coaches;school equipment;sponge;4.0;211
1779;2016-07-30;Berlin;Billingham Workshops;school and office equipment;plasticine;2.99;15
1780;2016-09-14;Barcelona;Riverside Off Road Vehicles;furniture;swivel chair;69.0;26
1781;2015-07-10;Berlin;Pringle Cycles;furniture;desk;149.99;3
1782;2015-05-03;Cracow;Sterling Cameras;school equipment;sponge;4.0;91
1783;2015-08-23;Berlin;Pringle Cycles;furniture;desk;149.99;4
1784;2017-02-10;Krakow;Grady Recycling;furniture;desk;149.99;2
1785;2017-01-17;Warszawa;Salisbury Promotions;furniture;desk;149.99;14
1786;2015-06-16;Rome;Khan Cabs;furniture;desk;149.99;2
1787;2015-06-28;Krakow;Grady Recycling;school equipment;blackboard;590.0;1
1788;2016-03-24;Cracow;Grange Locksmiths;school and office equipment;pen;0.99;80
1789;2015-02-01;Barcelona;Riverside Off Road Vehicles;school and office equipment;pen;1.49;151
1790;2016-08-27;Berlin;Billingham Workshops;furniture;swivel chair;69.0;15
1791;2016-10-12;Berlin;Pringle Cycles;furniture;desk;149.99;8
1792;2016-03-21;Berlin;Billingham Workshops;school equipment;sponge;4.0;72
1793;2015-04-03;Paris;Wright Sporting Goods;furniture;swivel chair;69.0;36
1794;2015-07-11;London;Ashton Electronics;school and office equipment;punch;7.5;119
1795;2016-01-12;Rome;Khan Cabs;school equipment;sponge;4.0;17
1796;2016-11-22;Krakow;Noakes Paper Products;furniture;desk;149.99;1
1797;2015-12-09;Barcelona;Riverside Off Road Vehicles;furniture;swivel chair;69.0;20
1798;2017-02-27;Krakow;Jeffries Logistics;furniture;desk;149.99;1
1799;2016-10-26;Cracow;Grange Locksmiths;furniture;swivel chair;69.0;13
1800;2017-01-25;London;Haddow Camping Supplies;school and office equipment;plasticine;2.99;56
1801;2015-08-31;Berlin;On Top Workshops;furniture;desk;149.99;1
1802;2015-12-10;Paris;Holt Packaging;furniture;desk;149.99;8
1803;2017-03-22;Berlin;Pringle Cycles;school equipment;blackboard;590.0;1
1804;2016-05-18;Berlin;Pringle Cycles;furniture;swivel chair;69.0;6
1805;2015-10-01;Berlin;Billingham Workshops;furniture;desk;149.99;2
1806;2017-03-12;Cracow;Richards Textiles;school and office equipment;plasticine;2.99;60
1807;2015-02-15;Cracow;Valley Coaches;furniture;swivel chair;69.0;14
1808;2015-12-31;Rome;Pearce Printing;furniture;desk;149.99;4
1809;2016-06-27;Cracow;Valley Coaches;furniture;swivel chair;69.0;21
1810;2015-11-07;Barcelona;On Time Kitchens;school and office equipment;pen;0.99;27
1811;2016-08-04;Cracow;Richards Textiles;furniture;desk;149.99;3
1812;2016-12-24;Berlin;Pringle Cycles;furniture;swivel chair;69.0;15
1813;2016-05-11;Barcelona;Rathbone Double Glazing;school and office equipment;pen;0.99;140
1814;2016-02-05;Warszawa;North Point Services;furniture;swivel chair;69.0;28
1815;2016-02-12;Berlin;Quality Boiler Repairs;school equipment;sponge;4.0;22
1816;2015-03-28;Warszawa;North Point Services;furniture;desk;149.99;24
1817;2015-08-28;Warszawa;North Point Services;furniture;desk;149.99;12
1818;2016-03-28;Krakow;Grady Recycling;furniture;desk;149.99;14
1819;2016-08-14;Rome;Pearce Printing;furniture;swivel chair;69.0;7
1820;2015-01-16;London;Haddow Camping Supplies;school equipment;blackboard;590.0;1
1821;2015-09-26;Warszawa;North Point Services;furniture;swivel chair;69.0;29
1822;2017-02-04;Cracow;Valley Coaches;school equipment;sponge;4.0;150
1823;2016-02-03;Berlin;Pringle Cycles;school equipment;chalk;5.0;110
1824;2015-09-18;Cracow;Grange Locksmiths;school equipment;chalk;5.0;3
1825;2015-07-05;Krakow;Grady Recycling;school and office equipment;plasticine;2.99;187
1826;2016-05-11;Berlin;Billingham Workshops;school and office equipment;punch;7.5;48
1827;2016-03-26;Barcelona;Rathbone Double Glazing;school and office equipment;pen;0.99;23
1828;2016-08-18;Barcelona;Rathbone Double Glazing;furniture;swivel chair;69.0;20
1829;2015-02-05;Cracow;Grange Locksmiths;school and office equipment;punch;7.5;120
1830;2015-01-29;Barcelona;Riverside Off Road Vehicles;school equipment;chalk;5.0;264
1831;2015-12-28;Rome;Khan Cabs;school equipment;sponge;4.0;94
1832;2017-04-22;Berlin;Billingham Workshops;furniture;swivel chair;69.0;10
1833;2014-11-12;Cracow;Richards Textiles;school equipment;chalk;5.0;80
1834;2015-12-04;Paris;Wright Sporting Goods;school equipment;blackboard;590.0;5
1835;2015-01-27;Rome;Khan Cabs;school and office equipment;pen;1.49;66
1836;2015-06-26;Cracow;Valley Coaches;furniture;swivel chair;69.0;14
1837;2016-10-29;Berlin;Billingham Workshops;furniture;desk;149.99;7
1838;2015-09-19;Berlin;On Top Workshops;furniture;desk;149.99;5
1839;2017-02-05;Rome;Khan Cabs;furniture;desk;149.99;1
1840;2016-10-27;Cracow;Grange Locksmiths;school equipment;sponge;4.0;74
1841;2017-03-24;Paris;Holt Packaging;school and office equipment;pen;0.99;222
1842;2016-11-04;Warszawa;Salisbury Promotions;furniture;swivel chair;69.0;38
1843;2015-04-03;Cracow;Grange Locksmiths;school equipment;blackboard;590.0;3
1844;2015-10-22;London;Haddow Camping Supplies;school equipment;sponge;4.0;90
1845;2017-01-08;Berlin;Quality Boiler Repairs;furniture;swivel chair;69.0;13
1846;2017-04-06;Rome;Khan Cabs;school and office equipment;pen;0.99;67
1847;2016-04-29;Warszawa;North Point Services;school equipment;blackboard;590.0;6
1848;2015-11-12;Berlin;On Top Workshops;furniture;desk;149.99;7
1849;2016-12-19;London;Haddow Camping Supplies;school and office equipment;plasticine;2.99;249
1850;2015-11-01;Krakow;Noakes Paper Products;furniture;desk;149.99;15
1851;2015-11-04;Warszawa;North Point Services;school equipment;chalk;5.0;30
1852;2015-12-29;Berlin;Quality Boiler Repairs;school and office equipment;pen;1.49;128
1853;2015-03-03;Paris;Holt Packaging;school and office equipment;pen;0.99;115
1854;2016-03-28;Barcelona;Rathbone Double Glazing;school equipment;sponge;4.0;85
1855;2014-12-28;London;Newbold Accountancy Services;furniture;desk;149.99;1
1856;2015-01-16;London;Newbold Accountancy Services;school equipment;blackboard;590.0;2
1857;2015-08-08;London;Haddow Camping Supplies;furniture;desk;149.99;12
1858;2015-06-07;Barcelona;On Time Kitchens;school equipment;blackboard;590.0;1
1859;2017-04-02;London;Haddow Camping Supplies;school equipment;sponge;4.0;82
1860;2016-12-06;Cracow;Valley Coaches;school equipment;sponge;4.0;257
1861;2014-11-09;Warszawa;Salisbury Promotions;furniture;swivel chair;69.0;36
1862;2016-07-23;Krakow;Grady Recycling;school equipment;blackboard;590.0;4
1863;2014-12-31;London;Newbold Accountancy Services;school and office equipment;punch;7.5;81
1864;2016-01-24;Cracow;Valley Coaches;furniture;desk;149.99;11
1865;2014-11-14;Berlin;On Top Workshops;school equipment;blackboard;590.0;2
1866;2016-01-09;Barcelona;Super Memorabilia;furniture;swivel chair;69.0;18
1867;2015-11-06;London;Haddow Camping Supplies;furniture;swivel chair;69.0;20
1868;2016-03-30;Warszawa;North Point Services;school and office equipment;pen;0.99;371
1869;2016-06-29;Berlin;Pringle Cycles;furniture;swivel chair;69.0;8
1870;2015-02-09;Berlin;Billingham Workshops;furniture;swivel chair;69.0;7
1871;2015-01-01;Berlin;Pringle Cycles;school equipment;sponge;4.0;147
1872;2016-10-17;London;Newbold Accountancy Services;furniture;swivel chair;69.0;16
1873;2015-07-02;Rome;Pearce Printing;school and office equipment;punch;7.5;2
1874;2015-12-20;Krakow;Noakes Paper Products;furniture;swivel chair;69.0;11
1875;2015-08-28;Berlin;Billingham Workshops;school equipment;chalk;5.0;99
1876;2016-11-30;Cracow;Grange Locksmiths;furniture;desk;149.99;1
1877;2015-03-26;Barcelona;Rathbone Double Glazing;school and office equipment;pen;1.49;227
1878;2014-10-27;Paris;Wright Sporting Goods;furniture;swivel chair;69.0;5
1879;2016-12-17;Paris;Holt Packaging;school equipment;chalk;5.0;301
1880;2017-03-07;Cracow;Sterling Cameras;school equipment;chalk;5.0;96
1881;2016-07-10;Rome;Pearce Printing;school equipment;sponge;4.0;5
1882;2016-05-14;Berlin;Pringle Cycles;school and office equipment;pen;0.99;78
1883;2017-03-09;Barcelona;On Time Kitchens;school and office equipment;pen;0.99;60
1884;2016-05-25;Paris;Holt Packaging;furniture;swivel chair;69.0;39
1885;2017-03-06;Barcelona;Rathbone Double Glazing;furniture;swivel chair;69.0;29
1886;2017-03-26;Krakow;Grady Recycling;school equipment;chalk;5.0;47
1887;2016-03-13;Paris;Holt Packaging;school and office equipment;pen;1.49;203
1888;2017-03-09;Warszawa;North Point Services;school equipment;sponge;4.0;492
1889;2015-01-19;Berlin;On Top Workshops;school and office equipment;plasticine;2.99;71
1890;2017-01-23;Barcelona;Super Memorabilia;school and office equipment;punch;7.5;105
1891;2016-01-05;Paris;Holt Packaging;school and office equipment;pen;0.99;62
1892;2015-05-14;Warszawa;Salisbury Promotions;furniture;desk;149.99;4
1893;2016-06-22;Rome;Khan Cabs;school equipment;sponge;4.0;1
1894;2016-10-31;London;Newbold Accountancy Services;school and office equipment;pen;1.49;106
1895;2017-01-21;Berlin;Billingham Workshops;school and office equipment;plasticine;2.99;24
1896;2015-01-17;Krakow;Noakes Paper Products;furniture;desk;149.99;8
1897;2014-11-13;Berlin;Billingham Workshops;furniture;desk;149.99;2
1898;2017-02-16;Krakow;Noakes Paper Products;furniture;swivel chair;69.0;6
1899;2015-01-21;Paris;Summit Cash & Carry;school and office equipment;plasticine;2.99;61
1900;2016-11-04;Cracow;Valley Coaches;school equipment;blackboard;590.0;3
1901;2015-07-17;Berlin;Quality Boiler Repairs;school equipment;chalk;5.0;50
1902;2016-10-05;Rome;Khan Cabs;furniture;swivel chair;69.0;4
1903;2017-01-03;Cracow;Richards Textiles;furniture;desk;149.99;4
1904;2015-03-03;Cracow;Sterling Cameras;school and office equipment;plasticine;2.99;130
1905;2015-03-19;Krakow;Noakes Paper Products;school equipment;sponge;4.0;198
1906;2015-09-23;Cracow;Grange Locksmiths;school and office equipment;plasticine;2.99;110
1907;2017-03-16;London;Newbold Accountancy Services;furniture;swivel chair;69.0;24
1908;2016-12-15;Krakow;Jeffries Logistics;school and office equipment;punch;7.5;158
1909;2017-01-24;Warszawa;Salisbury Promotions;furniture;swivel chair;69.0;19
1910;2014-12-07;Krakow;Noakes Paper Products;school and office equipment;plasticine;2.99;324
1911;2015-12-20;Krakow;Grady Recycling;school equipment;chalk;5.0;137
1912;2016-02-04;Paris;Summit Cash & Carry;school and office equipment;pen;0.99;380
1913;2016-01-10;Barcelona;Riverside Off Road Vehicles;furniture;swivel chair;69.0;5
1914;2016-07-12;Paris;Holt Packaging;school and office equipment;plasticine;2.99;443
1915;2016-06-29;Krakow;Noakes Paper Products;school and office equipment;punch;7.5;72
1916;2017-02-14;Paris;Summit Cash & Carry;school and office equipment;punch;7.5;122
1917;2015-04-04;Warszawa;North Point Services;school equipment;chalk;5.0;432
1918;2016-10-16;Barcelona;Rathbone Double Glazing;school equipment;sponge;4.0;234
1919;2015-11-06;Berlin;Billingham Workshops;school and office equipment;plasticine;2.99;72
1920;2016-10-11;Barcelona;On Time Kitchens;school and office equipment;punch;7.5;59
1921;2016-07-27;Paris;Summit Cash & Carry;furniture;desk;149.99;7
1922;2015-10-29;Paris;Wright Sporting Goods;school and office equipment;pen;1.49;65
1923;2015-04-26;Berlin;On Top Workshops;school equipment;sponge;4.0;23
1924;2015-12-06;Warszawa;North Point Services;school and office equipment;punch;7.5;108
1925;2015-05-28;Barcelona;Rathbone Double Glazing;furniture;swivel chair;69.0;32
1926;2015-10-02;London;Ashton Electronics;school equipment;sponge;4.0;190
1927;2016-01-11;Paris;Wright Sporting Goods;furniture;desk;149.99;11
1928;2016-12-04;Berlin;On Top Workshops;school equipment;sponge;4.0;16
1929;2016-10-03;Rome;Khan Cabs;school and office equipment;pen;0.99;4
1930;2016-10-20;London;Ashton Electronics;school and office equipment;pen;0.99;19
1931;2016-03-27;London;Haddow Camping Supplies;furniture;desk;149.99;9
1932;2015-08-31;Warszawa;Salisbury Promotions;furniture;swivel chair;69.0;13
1933;2016-03-14;Cracow;Sterling Cameras;school equipment;sponge;4.0;212
1934;2015-10-27;Cracow;Valley Coaches;school and office equipment;pen;1.49;64
1935;2017-04-13;Krakow;Grady Recycling;furniture;desk;149.99;13
1936;2017-03-16;Cracow;Grange Locksmiths;furniture;swivel chair;69.0;15
1937;2015-05-09;London;Newbold Accountancy Services;school equipment;chalk;5.0;211
1938;2015-07-11;Berlin;Billingham Workshops;school equipment;blackboard;590.0;2
1939;2017-02-26;Paris;Wright Sporting Goods;school equipment;blackboard;590.0;4
1940;2015-12-07;Barcelona;Super Memorabilia;school equipment;blackboard;590.0;1
1941;2014-10-10;Berlin;Pringle Cycles;school equipment;sponge;4.0;2
1942;2016-09-24;London;Newbold Accountancy Services;school and office equipment;pen;0.99;188
1943;2015-08-08;Paris;Summit Cash & Carry;school equipment;blackboard;590.0;5
1944;2015-05-19;Krakow;Jeffries Logistics;school equipment;blackboard;590.0;4
1945;2014-11-24;Berlin;Quality Boiler Repairs;school and office equipment;pen;1.49;52
1946;2016-12-02;London;Haddow Camping Supplies;furniture;swivel chair;69.0;24
1947;2016-10-19;Cracow;Sterling Cameras;school and office equipment;pen;1.49;151
1948;2016-03-18;Berlin;Billingham Workshops;school equipment;sponge;4.0;131
1949;2017-03-29;Warszawa;North Point Services;furniture;swivel chair;69.0;46
1950;2015-07-25;Cracow;Richards Textiles;furniture;desk;149.99;3
1951;2016-11-12;Rome;Pearce Printing;school and office equipment;pen;1.49;54
1952;2016-01-30;Barcelona;Rathbone Double Glazing;school equipment;chalk;5.0;118
1953;2016-04-26;Rome;Khan Cabs;school equipment;chalk;5.0;81
1954;2015-07-23;Berlin;On Top Workshops;school and office equipment;pen;1.49;31
1955;2016-01-02;Rome;Pearce Printing;school equipment;blackboard;590.0;1
1956;2017-02-04;Cracow;Grange Locksmiths;furniture;swivel chair;69.0;14
1957;2015-03-15;Rome;Khan Cabs;furniture;desk;149.99;4
1958;2015-11-12;Paris;Holt Packaging;school and office equipment;punch;7.5;122
1959;2017-04-28;Rome;Khan Cabs;school and office equipment;pen;0.99;6
1960;2017-04-27;Krakow;Jeffries Logistics;school equipment;chalk;5.0;166
1961;2016-01-22;London;Newbold Accountancy Services;school equipment;chalk;5.0;91
1962;2015-01-29;Paris;Summit Cash & Carry;furniture;swivel chair;69.0;5
1963;2016-09-05;Rome;Pearce Printing;furniture;desk;149.99;4
1964;2016-06-24;Barcelona;Super Memorabilia;school equipment;chalk;5.0;34
1965;2016-04-09;Barcelona;Riverside Off Road Vehicles;school and office equipment;plasticine;2.99;248
1966;2015-12-30;Paris;Wright Sporting Goods;school equipment;blackboard;590.0;4
1967;2016-06-23;Warszawa;North Point Services;furniture;desk;149.99;18
1968;2015-02-21;Berlin;Billingham Workshops;furniture;swivel chair;69.0;7
1969;2017-05-04;Rome;Khan Cabs;school equipment;chalk;5.0;83
1970;2016-05-07;Cracow;Richards Textiles;furniture;desk;149.99;3
1971;2015-01-03;Krakow;Grady Recycling;school equipment;blackboard;590.0;1
1972;2015-02-14;Krakow;Grady Recycling;school and office equipment;pen;1.49;149
1973;2015-06-16;Berlin;On Top Workshops;furniture;desk;149.99;8
1974;2015-12-22;Warszawa;Salisbury Promotions;furniture;desk;149.99;9
1975;2016-08-15;Barcelona;On Time Kitchens;furniture;desk;149.99;9
1976;2016-07-18;Paris;Holt Packaging;school and office equipment;pen;0.99;82
1977;2016-01-25;Paris;Summit Cash & Carry;school and office equipment;pen;1.49;283
1978;2016-11-05;Rome;Pearce Printing;furniture;desk;149.99;3
1979;2016-08-26;Paris;Summit Cash & Carry;furniture;desk;149.99;19
1980;2015-05-31;Cracow;Sterling Cameras;school and office equipment;punch;7.5;84
1981;2017-04-07;Warszawa;Salisbury Promotions;furniture;desk;149.99;11
1982;2015-06-01;Barcelona;On Time Kitchens;school and office equipment;plasticine;2.99;364
1983;2015-11-12;Paris;Wright Sporting Goods;school equipment;blackboard;590.0;5
1984;2017-04-19;London;Haddow Camping Supplies;furniture;swivel chair;69.0;13
1985;2015-10-09;Berlin;Quality Boiler Repairs;school and office equipment;plasticine;2.99;176
1986;2015-12-25;Cracow;Sterling Cameras;school and office equipment;pen;0.99;3
1987;2015-11-07;London;Newbold Accountancy Services;school equipment;chalk;5.0;64
1988;2015-04-10;London;Newbold Accountancy Services;furniture;desk;149.99;6
1989;2017-02-16;London;Newbold Accountancy Services;school and office equipment;plasticine;2.99;274
1990;2016-03-02;Berlin;On Top Workshops;furniture;swivel chair;69.0;15
1991;2016-10-21;Barcelona;On Time Kitchens;furniture;desk;149.99;7
1992;2016-03-14;Barcelona;Super Memorabilia;school equipment;blackboard;590.0;1
1993;2016-01-04;London;Haddow Camping Supplies;furniture;swivel chair;69.0;4
1994;2016-11-26;Krakow;Grady Recycling;school and office equipment;punch;7.5;177
1995;2016-04-21;Barcelona;Super Memorabilia;school equipment;chalk;5.0;80
1996;2016-04-10;Cracow;Valley Coaches;school and office equipment;punch;7.5;118
1997;2016-10-19;Cracow;Valley Coaches;school equipment;blackboard;590.0;2
1998;2016-12-17;Rome;Pearce Printing;school equipment;chalk;5.0;84
1999;2016-06-17;Paris;Summit Cash & Carry;school and office equipment;pen;1.49;104
2000;2017-02-26;Cracow;Richards Textiles;school and office equipment;plasticine;2.99;10
2001;2015-07-01;London;Ashton Electronics;furniture;desk;149.99;11
2002;2015-10-20;Warszawa;North Point Services;school equipment;sponge;4.0;26
2003;2017-04-22;London;Newbold Accountancy Services;furniture;desk;149.99;3
2004;2016-05-25;Berlin;On Top Workshops;school and office equipment;pen;0.99;123
2005;2015-02-19;Barcelona;Riverside Off Road Vehicles;school and office equipment;pen;0.99;74
2006;2016-02-02;Berlin;Quality Boiler Repairs;school and office equipment;pen;1.49;128
2007;2017-01-04;London;Haddow Camping Supplies;school and office equipment;pen;0.99;175
2008;2017-04-25;Krakow;Grady Recycling;school and office equipment;pen;1.49;131
2009;2015-09-01;Paris;Holt Packaging;school and office equipment;punch;7.5;113
2010;2015-03-20;London;Newbold Accountancy Services;school and office equipment;pen;1.49;145
2011;2017-03-30;Krakow;Grady Recycling;school and office equipment;pen;1.49;192
2012;2014-12-06;Rome;Pearce Printing;school and office equipment;punch;7.5;12
2013;2015-01-13;Rome;Khan Cabs;furniture;swivel chair;69.0;1
2014;2017-03-17;Cracow;Sterling Cameras;school and office equipment;plasticine;2.99;142
2015;2015-11-21;Barcelona;Riverside Off Road Vehicles;furniture;swivel chair;69.0;28
2016;2015-05-24;Berlin;Quality Boiler Repairs;school and office equipment;plasticine;2.99;128
2017;2016-02-10;Paris;Wright Sporting Goods;furniture;desk;149.99;12
2018;2016-07-27;Krakow;Noakes Paper Products;furniture;desk;149.99;12
2019;2016-11-14;Paris;Summit Cash & Carry;school and office equipment;punch;7.5;120
2020;2016-10-07;Paris;Holt Packaging;school equipment;chalk;5.0;35
2021;2016-09-20;Berlin;On Top Workshops;school equipment;chalk;5.0;158
2022;2014-11-30;Paris;Wright Sporting Goods;furniture;desk;149.99;10
2023;2016-04-03;Barcelona;Super Memorabilia;school equipment;chalk;5.0;229
2024;2016-07-14;Warszawa;Salisbury Promotions;school equipment;chalk;5.0;396
2025;2016-03-19;Paris;Holt Packaging;furniture;desk;149.99;14
2026;2016-01-01;Rome;Pearce Printing;furniture;desk;149.99;4
2027;2015-04-09;Rome;Khan Cabs;furniture;swivel chair;69.0;3
2028;2017-02-22;Krakow;Noakes Paper Products;furniture;swivel chair;69.0;26
2029;2017-03-27;London;Newbold Accountancy Services;furniture;desk;149.99;2
2030;2017-05-05;Rome;Khan Cabs;school equipment;sponge;4.0;53
2031;2016-04-11;Berlin;On Top Workshops;school and office equipment;plasticine;2.99;75
2032;2015-07-12;Berlin;Quality Boiler Repairs;furniture;desk;149.99;1
2033;2016-03-07;Berlin;Quality Boiler Repairs;school and office equipment;plasticine;2.99;135
2034;2015-05-22;London;Haddow Camping Supplies;furniture;swivel chair;69.0;6
2035;2015-08-20;Warszawa;North Point Services;school equipment;blackboard;590.0;1
2036;2016-01-25;Paris;Summit Cash & Carry;furniture;desk;149.99;12
2037;2016-12-15;Warszawa;Salisbury Promotions;school equipment;blackboard;590.0;3
2038;2015-01-18;Barcelona;Super Memorabilia;furniture;swivel chair;69.0;10
2039;2016-07-14;Barcelona;Rathbone Double Glazing;furniture;swivel chair;69.0;21
2040;2015-07-29;Rome;Khan Cabs;furniture;desk;149.99;1
2041;2015-03-20;London;Newbold Accountancy Services;school equipment;blackboard;590.0;2
2042;2016-08-17;Paris;Holt Packaging;school equipment;chalk;5.0;237
2043;2016-06-18;Rome;Pearce Printing;furniture;swivel chair;69.0;1
2044;2014-12-24;Warszawa;Salisbury Promotions;school equipment;sponge;4.0;559
2045;2015-06-09;Cracow;Valley Coaches;school and office equipment;pen;1.49;80
2046;2016-10-08;Warszawa;North Point Services;school equipment;blackboard;590.0;6
2047;2016-04-13;Rome;Pearce Printing;school and office equipment;pen;0.99;6
2048;2014-12-13;Paris;Summit Cash & Carry;school and office equipment;plasticine;2.99;454
2049;2016-02-05;Warszawa;North Point Services;school equipment;chalk;5.0;244
2050;2016-10-28;Warszawa;Salisbury Promotions;school equipment;sponge;4.0;497
2051;2015-07-21;Cracow;Sterling Cameras;school equipment;chalk;5.0;68
2052;2017-03-29;Krakow;Jeffries Logistics;school equipment;chalk;5.0;176
2053;2016-05-26;Barcelona;Riverside Off Road Vehicles;school equipment;sponge;4.0;25
2054;2016-03-15;Krakow;Jeffries Logistics;school equipment;blackboard;590.0;3
2055;2015-09-27;Rome;Khan Cabs;furniture;swivel chair;69.0;6
2056;2015-12-22;Rome;Khan Cabs;school and office equipment;punch;7.5;4
2057;2014-10-26;Barcelona;Riverside Off Road Vehicles;school equipment;blackboard;590.0;2
2058;2017-01-26;Warszawa;North Point Services;school equipment;chalk;5.0;268
2059;2017-03-10;Berlin;Quality Boiler Repairs;school and office equipment;punch;7.5;64
2060;2014-12-13;Berlin;Billingham Workshops;furniture;swivel chair;69.0;10
2061;2016-01-07;Paris;Holt Packaging;furniture;desk;149.99;13
2062;2016-12-22;Rome;Pearce Printing;furniture;swivel chair;69.0;5
2063;2016-11-23;Krakow;Grady Recycling;school equipment;chalk;5.0;229
2064;2015-05-02;Cracow;Valley Coaches;school equipment;chalk;5.0;182
2065;2016-06-06;Krakow;Jeffries Logistics;school and office equipment;punch;7.5;122
2066;2016-11-11;Warszawa;North Point Services;school equipment;sponge;4.0;67
2067;2016-09-12;Warszawa;North Point Services;school and office equipment;plasticine;2.99;409
2068;2016-04-26;London;Newbold Accountancy Services;school equipment;sponge;4.0;231
2069;2016-10-18;Rome;Khan Cabs;furniture;swivel chair;69.0;6
2070;2015-02-09;Krakow;Jeffries Logistics;school equipment;chalk;5.0;11
2071;2016-06-28;Cracow;Valley Coaches;school and office equipment;plasticine;2.99;120
2072;2015-08-14;Paris;Wright Sporting Goods;school equipment;chalk;5.0;176
2073;2014-11-22;Krakow;Jeffries Logistics;furniture;swivel chair;69.0;1
2074;2016-12-26;Paris;Holt Packaging;furniture;desk;149.99;1
2075;2015-01-15;Cracow;Richards Textiles;school equipment;sponge;4.0;207
2076;2017-01-04;Barcelona;Riverside Off Road Vehicles;furniture;swivel chair;69.0;22
2077;2014-12-22;Paris;Holt Packaging;furniture;swivel chair;69.0;8
2078;2016-09-21;Krakow;Jeffries Logistics;furniture;desk;149.99;6
2079;2016-03-04;Warszawa;North Point Services;furniture;desk;149.99;24
2080;2015-11-03;London;Haddow Camping Supplies;furniture;swivel chair;69.0;10
2081;2015-06-08;Paris;Holt Packaging;school and office equipment;pen;1.49;230
2082;2016-07-02;Berlin;Quality Boiler Repairs;school equipment;chalk;5.0;175
2083;2014-12-11;Rome;Pearce Printing;furniture;swivel chair;69.0;7
2084;2017-03-26;Cracow;Sterling Cameras;furniture;swivel chair;69.0;23
2085;2015-08-21;Warszawa;North Point Services;furniture;swivel chair;69.0;16
